Time[sec],x1[k+1],x2[k+1],x3[k+1],x4[k+1]
0.001,-1.3961208525269318e-05,0.0003571746085478457,-0.02785025855246564,0.7126494745066222
0.002,-5.5556677980130365e-05,0.0014219183130473846,-0.0552691283536485,1.4151600574211043
0.003,-0.00012435704512875944,0.003184162529312611,-0.08226073661931751,2.107674012022778
0.004,-0.0002199370896991231,0.005633980912430063,-0.10882915779522656,2.7903315973675356
0.005,-0.0003418756401680536,0.008761586397795151,-0.13497841482326034,3.463271110149482
0.006,-0.0004897555227520343,0.012557329255144228,-0.16071247999433858,4.126628912251528
0.007,-0.0006631635110014773,0.01701169516071149,-0.18603527579286377,4.780539458039005
0.008,-0.0008616902763351307,0.022115303300327512,-0.2109506757270936,5.425135321214565
0.009,-0.0010849303406414578,0.02785890454013841,-0.23546250512871442,6.0605472207146
0.01,-0.0013324820307152859,0.03423337965650092,-0.2595745419253449,6.686904045766708
0.011,-0.001603947424464315,0.04122973729926376,-0.2832905175348281,7.304332884726786
0.012,-0.0018989323049227284,0.048839112207893574,-0.3066141176440231,7.9129590503316924
0.013,-0.0022170461136492648,0.05705276340761573,-0.32954898299672425,8.512906105235242
0.014,-0.002557901906623683,0.06586207248646929,-0.3520987101446509,9.104295886397155
0.015,-0.0029211167577839732,0.07525855381031585,-0.3742668435780941,9.68724833294955
0.016,-0.0032923487444100827,0.08487663183054159,-0.3682066519219742,9.54923280761479
0.017,-0.0036575489886693413,0.09435766508321605,-0.36220324104254253,9.413154245402932
0.018,-0.004016773920137291,0.103703576948436,-0.356255911065449,9.278985563616416
0.019,-0.004370079274697092,0.11291626392554086,-0.3503639736395543,9.146700054858291
0.02,-0.004717520105686589,0.12199759599497709,-0.34452675197349936,9.016271387117653
0.021,-0.005059150795215223,0.1309494169859369,-0.33874358066548893,8.887673598555622
0.022,-0.00539502506557487,0.1397735449474685,-0.33301380553131915,8.760881092241904
0.023,-0.005725195990451792,0.1484717725132649,-0.3273367834352877,8.635868630980982
0.024,-0.006049716005876023,0.1570458672583325,-0.3217118821247212,8.512611332253329
0.025,-0.006368636920846096,0.16549757204576887,-0.3161384800688649,8.391084663296667
0.026,-0.0066820099260578875,0.17382860531574,-0.3106159663233394,8.271264437005806
0.027,-0.00698988560717651,0.18204066151302528,-0.3051437403333053,8.15312680587009
0.028,-0.007292313955672343,0.19013541144025162,-0.29972121176949584,8.036648256963234
0.029,-0.007589344378770769,0.19811450258407848,-0.29434780037620883,7.921805607316224
