Time[sec],x1[k+1],x2[k+1],x3[k+1],x4[k+1]
0.001,-1.3961208525269318e-05,0.0003571746085478457,-0.02785025855246564,0.7126494745066222
0.002,-5.5556677980130365e-05,0.0014219183130473846,-0.0552691283536485,1.4151600574211043
0.003,-0.00012435704512875944,0.003184162529312611,-0.08226073661931751,2.107674012022778
0.004,-0.0002199370896991231,0.005633980912430063,-0.10882915779522656,2.7903315973675356
0.005,-0.0003418756401680536,0.008761586397795151,-0.13497841482326034,3.463271110149482
0.006,-0.0004897555227520343,0.012557329255144228,-0.16071247999433858,4.126628912251528
0.007,-0.0006631635110014773,0.01701169516071149,-0.18603527579286377,4.780539458039005
0.008,-0.0008616902763351307,0.022115303300327512,-0.2109506757270936,5.425135321214565
0.009,-0.0010849303406414578,0.02785890454013841,-0.23546250512871442,6.0605472207146
0.01,-0.0013324820307152859,0.03423337965650092,-0.2595745419253449,6.686904045766708
0.011,-0.001603947424464315,0.04122973729926376,-0.2832905175348281,7.304332884726786
0.012,-0.0018989323049227284,0.048839112207893574,-0.3066141176440231,7.9129590503316924
0.013,-0.0022170461136492648,0.05705276340761573,-0.32954898299672425,8.512906105235242
0.014,-0.0025579019084255323,0.06586207254507848,-0.3520987101178926,9.104295885566305
0.015,-0.0029211163392545625,0.07525854281807676,-0.3742668517667471,9.687248516065571
0.016,-0.003306309580494507,0.08523379648095307,-0.3960569180398995,10.261882445413368
0.017,-0.0037131052944519,0.09577957337131637,-0.4174723770083497,10.828314467079352
0.018,-0.004141130593110194,0.10688772937610226,-0.43851665538215334,11.386659741032089
0.019,-0.004590015997229126,0.11855023481309078,-0.45919313921360866,11.937031816647018
0.02,-0.005059395380647873,0.13075917234222562,-0.4795051748144615,12.47954266227934
0.021,-0.005548905948318178,0.14350673595063998,-0.4994560691842322,13.014302679617291
0.022,-0.006058188198199232,0.1567852294247861,-0.5190490906719996,13.541420725305574
0.023,-0.006586885881436205,0.17058706476851365,-0.5382874696627419,14.061004133334894
0.024,-0.007134645965615442,0.18490476071950024,-0.5571743992187772,14.573158736037236
0.025,-0.007701118576290193,0.1997309405720752,-0.5757130360347138,15.077988894910614
0.026,-0.00828595697750254,0.215058331246047,-0.5939065008288166,15.57559751378568
0.027,-0.008888817542981025,0.23087976205815205,-0.6117578788687091,16.066086056206533
0.028,-0.009509359715321707,0.24718816311013175,-0.629270220670296,16.549554568244464
0.029,-0.0101472459720529,0.26397656389714974,-0.6464465425968877,17.026101698188885
